,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
247,CALI2,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-23,1.2092512845821801
248,CALI2,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-23,-2.409239519980133
249,CALI2,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-23,0.22254381252881927
250,CALI2,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-23,-0.2926433517890459
251,CALI2,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-23,-0.6945135987047379
252,CALI2,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-23,55.89100989556304
253,CALI2,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-23,0.30311114712464615
254,CALI2,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-23,-0.5639402907275937
255,CALI2,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-23,-0.8117246637160846
256,CALI2,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-23,-1.3874893797279242
257,CALI2,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-23,0.12363863953606113
258,CALI2,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-23,49.04428531226834
259,CALI2,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-23,0.3384493499064334
